job_id,title,industry,employment_type,location,required_experience,required_education,has_company_profile,has_salary,has_logo,has_requirements,has_benefits,telecommuting,urgency_count,money_flag_count,vague_count,credential_count,desc_len,profile_len,predicted_prob,risk_tier,fraudulent
1,Marketing Intern,,Other,"US, NY, New York",Internship,,1,0,1,1,0,0,1,0,0,0,905,885,0.7,Low,0
2,Customer Service - Cloud Video Production,Marketing and Advertising,Full-time,"NZ, , Auckland",Not Applicable,,1,0,1,1,1,0,2,0,0,0,2076,1285,0.3,Low,0
3,Commissioning Machinery Assistant (CMA),,,"US, IA, Wever",,,1,0,1,1,0,0,0,0,0,0,355,878,1.8,Low,0
4,Account Executive - Washington DC,Computer Software,Full-time,"US, DC, Washington",Mid-Senior level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,2600,614,1.9,Low,0
5,Bill Review Manager,Hospital & Health Care,Full-time,"US, FL, Fort Worth",Mid-Senior level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,1519,1628,0.7,Low,0
6,Accounting Clerk,,,"US, MD,",,,0,0,0,0,0,0,1,0,0,0,3418,0,1.4,Low,0
7,Head of Content (m/f),Online Media,Full-time,"DE, BE, Berlin",Mid-Senior level,Master's Degree,1,1,1,1,1,0,0,0,0,0,433,881,0.2,Low,0
8,Lead Guest Service Specialist,,,"US, CA, San Francisco",,,1,0,1,1,1,0,2,0,0,0,2488,1025,0.2,Low,0
9,HP BSM SME,Information Technology and Services,Full-time,"US, FL, Pensacola",Associate,,1,0,1,1,0,0,0,0,0,0,75,1364,1.2,Low,0
10,Customer Service Associate - Part Time,Financial Services,Part-time,"US, AZ, Phoenix",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1218,684,0.2,Low,0
11,"ASP.net Developer Job opportunity at United States,New Jersey",Information Technology and Services,Full-time,"US, NJ, Jersey City",Mid-Senior level,Bachelor's Degree,0,1,0,1,1,0,1,0,1,0,2877,0,0.7,Low,0
12,Talent Sourcer (6 months fixed-term contract),,,"GB, LND, London",,,1,0,1,1,1,0,1,0,0,0,1159,310,0.1,Low,0
